date,country,series,value,iso3,country_de,country_en
1985-01-31,EU,INDU,-5.8,,Europäische Union,European Union
1985-01-31,EU,CONS,-10.3,,Europäische Union,European Union
1985-01-31,EU,BUIL,-49,,Europäische Union,European Union
1985-01-31,EU,ESI,94.8,,Europäische Union,European Union
1985-01-31,EA,INDU,-5.9,,Euroraum,Euro area
1985-01-31,EA,CONS,-10.5,,Euroraum,Euro area
1985-01-31,EA,RETA,-21,,Euroraum,Euro area
1985-01-31,EA,BUIL,-50.3,,Euroraum,Euro area
1985-01-31,EA,ESI,93.8,,Euroraum,Euro area
1985-01-31,BE,INDU,-11,BEL,Belgien,Belgium
1985-01-31,BE,CONS,-24.7,BEL,Belgien,Belgium
1985-01-31,BE,RETA,-13.4,BEL,Belgien,Belgium
1985-01-31,BE,ESI,80.7,BEL,Belgien,Belgium
1985-01-31,DK,INDU,4.5,DNK,Dänemark,Denmark
1985-01-31,DK,CONS,-0.7,DNK,Dänemark,Denmark
1985-01-31,DK,BUIL,-0.9,DNK,Dänemark,Denmark
1985-01-31,DK,ESI,107.2,DNK,Dänemark,Denmark
1985-01-31,DE,INDU,-4.7,DEU,Deutschland,Germany
1985-01-31,DE,CONS,-7.8,DEU,Deutschland,Germany
1985-01-31,DE,RETA,-20.4,DEU,Deutschland,Germany
1985-01-31,DE,BUIL,-61.1,DEU,Deutschland,Germany
1985-01-31,DE,ESI,97,DEU,Deutschland,Germany
1985-01-31,IE,INDU,7,IRL,Irland,Ireland
1985-01-31,IE,CONS,-21.7,IRL,Irland,Ireland
1985-01-31,IE,BUIL,-35.6,IRL,Irland,Ireland
1985-01-31,IE,ESI,92,IRL,Irland,Ireland
1985-01-31,EL,INDU,-1.5,GRC,Griechenland,Greece
1985-01-31,EL,CONS,-8.1,GRC,Griechenland,Greece
1985-01-31,EL,BUIL,-15.6,GRC,Griechenland,Greece
1985-01-31,EL,ESI,110.2,GRC,Griechenland,Greece
1985-01-31,FR,CONS,-16.3,FRA,Frankreich,France
1985-01-31,FR,RETA,-18.5,FRA,Frankreich,France
1985-01-31,FR,BUIL,-52,FRA,Frankreich,France
1985-01-31,FR,ESI,82.4,FRA,Frankreich,France
1985-01-31,IT,INDU,-9.3,ITA,Italien,Italy
1985-01-31,IT,CONS,-7.1,ITA,Italien,Italy
1985-01-31,IT,BUIL,-40.4,ITA,Italien,Italy
1985-01-31,IT,ESI,86,ITA,Italien,Italy
1985-01-31,LU,INDU,1,LUX,Luxemburg,Luxembourg
1985-01-31,LU,BUIL,-59.9,LUX,Luxemburg,Luxembourg
1985-01-31,LU,ESI,107.4,LUX,Luxemburg,Luxembourg
1985-01-31,NL,INDU,-3.1,NLD,Niederlande,Netherlands
1985-01-31,NL,CONS,-8.5,NLD,Niederlande,Netherlands
1985-01-31,NL,BUIL,-23.1,NLD,Niederlande,Netherlands
1985-01-31,NL,ESI,95.2,NLD,Niederlande,Netherlands
1985-01-31,AT,INDU,-5.3,AUT,Österreich,Austria
1985-01-31,AT,ESI,96.5,AUT,Österreich,Austria
1985-01-31,FI,BUIL,-8.1,FIN,Finnland,Finland
1985-01-31,FI,ESI,97,FIN,Finnland,Finland
1985-01-31,UK,INDU,-2.7,GBR,Großbritannien,United Kingdom
1985-01-31,UK,CONS,-9.9,GBR,Großbritannien,United Kingdom
1985-01-31,UK,RETA,24.9,GBR,Großbritannien,United Kingdom
1985-01-31,UK,BUIL,-27.3,GBR,Großbritannien,United Kingdom
1985-01-31,UK,ESI,101.6,GBR,Großbritannien,United Kingdom
1985-02-28,EU,INDU,-7.4,,Europäische Union,European Union
1985-02-28,EU,CONS,-10.7,,Europäische Union,European Union
1985-02-28,EU,BUIL,-48.6,,Europäische Union,European Union
1985-02-28,EU,ESI,93.5,,Europäische Union,European Union
1985-02-28,EA,INDU,-8.1,,Euroraum,Euro area
1985-02-28,EA,CONS,-10.9,,Euroraum,Euro area
1985-02-28,EA,RETA,-18.3,,Euroraum,Euro area
1985-02-28,EA,BUIL,-51.2,,Euroraum,Euro area
1985-02-28,EA,ESI,92.5,,Euroraum,Euro area
1985-02-28,BE,INDU,-13.8,BEL,Belgien,Belgium
1985-02-28,BE,CONS,-23.6,BEL,Belgien,Belgium
1985-02-28,BE,RETA,-12.4,BEL,Belgien,Belgium
1985-02-28,BE,ESI,79.4,BEL,Belgien,Belgium
1985-02-28,DK,INDU,4.7,DNK,Dänemark,Denmark
1985-02-28,DK,CONS,-0.2,DNK,Dänemark,Denmark
1985-02-28,DK,BUIL,-0.3,DNK,Dänemark,Denmark
1985-02-28,DK,ESI,107.9,DNK,Dänemark,Denmark
1985-02-28,DE,INDU,-5.3,DEU,Deutschland,Germany
1985-02-28,DE,CONS,-8.5,DEU,Deutschland,Germany
1985-02-28,DE,RETA,-16.6,DEU,Deutschland,Germany
1985-02-28,DE,BUIL,-66.7,DEU,Deutschland,Germany
1985-02-28,DE,ESI,96.4,DEU,Deutschland,Germany
1985-02-28,IE,INDU,4.3,IRL,Irland,Ireland
1985-02-28,IE,CONS,-20.5,IRL,Irland,Ireland
1985-02-28,IE,BUIL,-37.1,IRL,Irland,Ireland
1985-02-28,IE,ESI,90.9,IRL,Irland,Ireland
1985-02-28,EL,INDU,-4.9,GRC,Griechenland,Greece
1985-02-28,EL,CONS,-8.1,GRC,Griechenland,Greece
1985-02-28,EL,BUIL,-15.9,GRC,Griechenland,Greece
1985-02-28,EL,ESI,107.6,GRC,Griechenland,Greece
1985-02-28,FR,INDU,-18.7,FRA,Frankreich,France
1985-02-28,FR,CONS,-16.2,FRA,Frankreich,France
1985-02-28,FR,RETA,-20.1,FRA,Frankreich,France
1985-02-28,FR,BUIL,-48.1,FRA,Frankreich,France
1985-02-28,FR,ESI,82.2,FRA,Frankreich,France
1985-02-28,IT,INDU,-7.9,ITA,Italien,Italy
1985-02-28,IT,CONS,-9,ITA,Italien,Italy
1985-02-28,IT,BUIL,-38.7,ITA,Italien,Italy
1985-02-28,IT,ESI,90.6,ITA,Italien,Italy
1985-02-28,LU,INDU,-4.2,LUX,Luxemburg,Luxembourg
1985-02-28,LU,BUIL,-62.4,LUX,Luxemburg,Luxembourg
1985-02-28,LU,ESI,103.6,LUX,Luxemburg,Luxembourg
1985-02-28,NL,INDU,1.9,NLD,Niederlande,Netherlands
1985-02-28,NL,CONS,-8.1,NLD,Niederlande,Netherlands
1985-02-28,NL,BUIL,-18.5,NLD,Niederlande,Netherlands
1985-02-28,NL,ESI,100.6,NLD,Niederlande,Netherlands
1985-02-28,AT,INDU,-5.6,AUT,Österreich,Austria
1985-02-28,AT,ESI,95.9,AUT,Österreich,Austria
1985-02-28,FI,BUIL,-10.5,FIN,Finnland,Finland
1985-02-28,FI,ESI,96.1,FIN,Finnland,Finland
1985-02-28,UK,INDU,-0.5,GBR,Großbritannien,United Kingdom
1985-02-28,UK,CONS,-15.8,GBR,Großbritannien,United Kingdom
1985-02-28,UK,RETA,21.2,GBR,Großbritannien,United Kingdom
1985-02-28,UK,BUIL,-27.7,GBR,Großbritannien,United Kingdom
1985-02-28,UK,ESI,100.7,GBR,Großbritannien,United Kingdom
1985-03-31,EU,INDU,-8.5,,Europäische Union,European Union
