date,country,series,value
1995-01-31,EU,INDU,3.5
1995-01-31,EU,CONS,-8.4
1995-01-31,EU,RETA,-18
1995-01-31,EU,BUIL,-22.3
1995-01-31,EU,ESI,104.3
1995-01-31,EA,INDU,3.1
1995-01-31,EA,CONS,-8.4
1995-01-31,EA,RETA,-19.5
1995-01-31,EA,BUIL,-23.4
1995-01-31,EA,ESI,104.1
1995-01-31,BE,INDU,1.9
1995-01-31,BE,CONS,-7.7
1995-01-31,BE,RETA,-6.6
1995-01-31,BE,BUIL,-18.4
1995-01-31,BE,ESI,106
1995-01-31,BG,INDU,2
1995-01-31,BG,RETA,26.7
1995-01-31,BG,BUIL,-27.7
1995-01-31,BG,ESI,113
1995-01-31,CZ,INDU,4.9
1995-01-31,CZ,CONS,-9.9
1995-01-31,CZ,RETA,8
1995-01-31,CZ,BUIL,-9.4
1995-01-31,CZ,ESI,96.2
1995-01-31,DK,INDU,1.3
1995-01-31,DK,CONS,6
1995-01-31,DK,BUIL,7.1
1995-01-31,DK,ESI,109.5
1995-01-31,DE,INDU,-1.9
1995-01-31,DE,CONS,-9.1
1995-01-31,DE,RETA,-24.3
1995-01-31,DE,BUIL,-29
1995-01-31,DE,ESI,99.6
1995-01-31,EE,INDU,10.2
1995-01-31,EE,CONS,-22.2
1995-01-31,EE,RETA,9.4
1995-01-31,EE,BUIL,-3
1995-01-31,EE,ESI,96.6
1995-01-31,IE,INDU,22.1
1995-01-31,IE,CONS,5.2
1995-01-31,IE,BUIL,-14.1
1995-01-31,IE,ESI,108.2
1995-01-31,EL,INDU,2
1995-01-31,EL,CONS,-31
1995-01-31,EL,RETA,-13.7
1995-01-31,EL,BUIL,-31
1995-01-31,EL,ESI,103.6
1995-01-31,ES,INDU,-0.1
1995-01-31,ES,CONS,-14.2
1995-01-31,ES,RETA,-14.3
1995-01-31,ES,BUIL,-4.8
1995-01-31,ES,ESI,102.8
1995-01-31,FR,INDU,4.6
1995-01-31,FR,SERV,7.1
1995-01-31,FR,CONS,-5.8
1995-01-31,FR,RETA,-1.2
1995-01-31,FR,BUIL,-34.7
1995-01-31,FR,ESI,111.2
1995-01-31,FR,EEI,100.7
1995-01-31,IT,INDU,9
1995-01-31,IT,CONS,-6.1
1995-01-31,IT,RETA,-41.1
1995-01-31,IT,BUIL,-20.5
1995-01-31,IT,ESI,109.9
1995-01-31,LV,INDU,-19.3
1995-01-31,LV,BUIL,-37.1
1995-01-31,LV,ESI,74.9
1995-01-31,LT,INDU,0.1
1995-01-31,LT,BUIL,-49.5
1995-01-31,LT,ESI,108.7
1995-01-31,LU,INDU,13.9
1995-01-31,LU,BUIL,-34.8
1995-01-31,LU,ESI,120
1995-01-31,HU,CONS,-50.8
1995-01-31,NL,INDU,1.2
1995-01-31,NL,CONS,-2.5
1995-01-31,NL,RETA,7.7
1995-01-31,NL,BUIL,-8.2
1995-01-31,NL,ESI,105
1995-01-31,NL,EEI,96.4
1995-01-31,AT,INDU,7.1
1995-01-31,AT,ESI,111.7
1995-01-31,PL,RETA,3.3
1995-01-31,PL,ESI,151.9
1995-01-31,PT,INDU,1.2
1995-01-31,PT,CONS,-15.3
1995-01-31,PT,RETA,8.5
1995-01-31,PT,BUIL,-44.4
1995-01-31,PT,ESI,110.9
1995-01-31,RO,INDU,6.2
1995-01-31,RO,RETA,20.4
1995-01-31,RO,BUIL,10.2
1995-01-31,RO,ESI,104.1
1995-01-31,SK,INDU,7.8
1995-01-31,SK,RETA,-1.6
1995-01-31,SK,BUIL,-22.4
1995-01-31,SK,ESI,99.1
1995-01-31,FI,INDU,29.5
1995-01-31,FI,BUIL,-27.9
1995-01-31,FI,ESI,120.2
1995-01-31,SE,BUIL,-21
1995-01-31,SE,ESI,110.2
1995-01-31,UK,INDU,7.2
1995-01-31,UK,CONS,-12.5
1995-01-31,UK,RETA,-3.7
1995-01-31,UK,BUIL,-21.8
1995-01-31,UK,ESI,104.4
1995-02-28,EU,INDU,3.9
1995-02-28,EU,CONS,-8.6
1995-02-28,EU,RETA,-13.9
1995-02-28,EU,BUIL,-25.4
1995-02-28,EU,ESI,104.7
1995-02-28,EA,INDU,3.7
1995-02-28,EA,CONS,-8.5
1995-02-28,EA,RETA,-15.2
1995-02-28,EA,BUIL,-26
1995-02-28,EA,ESI,104.6
1995-02-28,BE,INDU,2
1995-02-28,BE,SERV,20.8
1995-02-28,BE,CONS,-8.6
1995-02-28,BE,RETA,-6.7
1995-02-28,BE,BUIL,-20.2
1995-02-28,BE,ESI,107.7
1995-02-28,BE,EEI,104.1
1995-02-28,BG,INDU,-1.5
1995-02-28,BG,RETA,26.4
1995-02-28,BG,BUIL,-28.1
1995-02-28,BG,ESI,103.5
1995-02-28,CZ,INDU,6.1
1995-02-28,CZ,CONS,-9.8
1995-02-28,CZ,RETA,12.8
1995-02-28,CZ,BUIL,-13.3
1995-02-28,CZ,ESI,98.9
1995-02-28,DK,INDU,1.2
1995-02-28,DK,CONS,6.2
1995-02-28,DK,BUIL,7.5
1995-02-28,DK,ESI,109.5
1995-02-28,DE,INDU,-1.4
1995-02-28,DE,CONS,-10.8
1995-02-28,DE,RETA,-22.1
1995-02-28,DE,BUIL,-31.4
