date,series,AL,AT,BE,BG,CY,CZ,DE,DK,EA,EE,EL,ES,EU,FI,FR,HR,HU,IE,IT,LT,LU,LV,ME,MK,MT,NL,PL,PT,RO,RS,SE,SI,SK,TR,UK
1985-01-31,BUIL,,,,,,,-61.1,-0.9,-50.3,,-15.6,,-49,-8.1,-52,,,-35.6,-40.4,,-59.9,,,,,-23.1,,,,,,,,,-27.3
1985-01-31,CONS,,,-24.7,,,,-7.8,-0.7,-10.5,,-8.1,,-10.3,,-16.3,,,-21.7,-7.1,,,,,,,-8.5,,,,,,,,,-9.9
1985-01-31,ESI,,96.5,80.7,,,,97,107.2,93.8,,110.2,,94.8,97,82.4,,,92,86,,107.4,,,,,95.2,,,,,,,,,101.6
1985-01-31,INDU,,-5.3,-11,,,,-4.7,4.5,-5.9,,-1.5,,-5.8,,,,,7,-9.3,,1,,,,,-3.1,,,,,,,,,-2.7
1985-01-31,RETA,,,-13.4,,,,-20.4,,-21,,,,,,-18.5,,,,,,,,,,,,,,,,,,,,24.9
1985-02-28,BUIL,,,,,,,-66.7,-0.3,-51.2,,-15.9,,-48.6,-10.5,-48.1,,,-37.1,-38.7,,-62.4,,,,,-18.5,,,,,,,,,-27.7
1985-02-28,CONS,,,-23.6,,,,-8.5,-0.2,-10.9,,-8.1,,-10.7,,-16.2,,,-20.5,-9,,,,,,,-8.1,,,,,,,,,-15.8
1985-02-28,ESI,,95.9,79.4,,,,96.4,107.9,92.5,,107.6,,93.5,96.1,82.2,,,90.9,90.6,,103.6,,,,,100.6,,,,,,,,,100.7
1985-02-28,INDU,,-5.6,-13.8,,,,-5.3,4.7,-8.1,,-4.9,,-7.4,,-18.7,,,4.3,-7.9,,-4.2,,,,,1.9,,,,,,,,,-0.5
1985-02-28,RETA,,,-12.4,,,,-16.6,,-18.3,,,,,,-20.1,,,,,,,,,,,,,,,,,,,,21.2
1985-03-31,BUIL,,,,,,,-61.8,-0.1,-48.4,,-16.1,,-45.3,-11,-43.7,,,-35.3,-35.7,,-60.8,,,,,-20.6,,,,,,,,,-27.3
1985-03-31,CONS,,,-24.8,,,,-8.9,-0.3,-11.9,,-8.1,,-11.5,,-16.9,,,-20.2,-12.1,,,,,,,-7.5,,,,,,,,,-12
1985-03-31,ESI,,96.1,76.3,,,,95.9,108.1,90.4,,104.8,,91.8,95.9,80.1,,,92,81.9,,104.6,,,,,100.9,,,,,,,,,101.9
1985-03-31,INDU,,-5.7,-16.3,,,,-5.3,4.9,-9.5,,-8.4,,-8.5,,-19.3,,,6.1,-12.2,,-3.2,,,,,1.9,,,,,,,,,-0.1
1985-03-31,RETA,,,-4.9,,,,-24.5,,-21.3,,,,,,-20.7,,,,,,,,,,,,,,,,,,,,23.8
1985-04-30,BUIL,,,,,,,-57.8,-4.1,-45.2,,-21.6,,-43.3,-13.4,-39.4,,,-29.2,-37.7,,-56.7,,,,,-20.1,,,,,,,,,-21.1
1985-04-30,CONS,,,-23.1,,,,-8.5,-3.4,-11.1,,-0.3,,-10.9,,-14.9,,,-22.6,-10.7,,,,,,,-8.6,,,,,,,,,-13.3
1985-04-30,ESI,,94.3,78.7,,,,97,105.9,91.5,,103.9,,92.5,91,83,,,91.1,85.3,,105.6,,,,,97.1,,,,,,,,,104
1985-04-30,INDU,,-6.2,-15.1,,,,-4.6,4.9,-8.8,,-8.6,,-8,,-17.9,,,5.9,-10.4,,-2.1,,,,,-1.4,,,,,,,,,4
1985-04-30,RETA,,,-3.4,,,,-19,,-19.3,,,,,,-21.5,,,,,,,,,,,,,,,,,,,,16.1
1985-05-31,BUIL,,,,,,,-58.4,-4.1,-45.2,,-21.6,,-43.6,-15.7,-38.1,,,-30,-34.2,,-51.6,,,,,-23.9,,,,,,,,,-20.6
1985-05-31,CONS,,,-23.7,,,,-8.2,-3.8,-11.5,,-0.3,,-11.3,,-15.7,,,-22.5,-11.4,,,,,,,-8.9,,,,,,,,,-14.4
1985-05-31,ESI,,94.2,75.5,,,,98.5,105.5,92.7,,104.8,,93.6,90.7,81.1,,,93.6,88.1,,104.1,,,,,96.8,,,,,,,,,101.3
1985-05-31,INDU,,-6.2,-17.9,,,,-2.9,4.7,-7.7,,-7.1,,-7.1,,-19.2,,,9.1,-9.3,,-4.4,,,,,-1.7,,,,,,,,,1.6
1985-05-31,RETA,,,-2.2,,,,-14.7,,-17.1,,,,,,-20.9,,,,,,,,,,,,,,,,,,,,8
1985-06-30,BUIL,,,,,,,-53.3,-4.2,-43.3,,-21.6,,-41.3,-17.7,-37,,,-30,-35.8,,-48.8,,,,,-22.7,,,,,,,,,-19.8
1985-06-30,CONS,,,-24.1,,,,-9.3,-3.4,-11.9,,-0.3,,-11.6,,-15.7,,,-22.8,-11,,,,,,,-8.5,,,,,,,,,-14.7
1985-06-30,ESI,,93.3,77.4,,,,96.8,105.7,92.3,,106.2,,93,90.6,83.7,,,88,86.6,,105.9,,,,,98.7,,,,,,,,,103
1985-06-30,INDU,,-6.8,-15.7,,,,-4.9,4.8,-7.9,,-4.7,,-7.3,,-16.5,,,2.2,-9.8,,-2.5,,,,,-1.1,,,,,,,,,3.3
1985-06-30,RETA,,,-5.1,,,,-13.9,,-15.2,,,,,,-19.9,,,,,,,,,,,,,,,,,,,,11.3
1985-07-31,BUIL,,,,,,,-50.9,12.7,-41,,-26.1,,-39,-29.3,-35.9,,,-29.7,-33.6,,-44.1,,,,,-20.7,,,,,,,,,-20.7
