treatment,treatment_en,control,outcome,outcome_en,outlength,frequency,att,patt,sig,measure,value,diff,diff_patt,max_diff,measure_en,max_diff_patt,outlength2,sig2,sig2_en,valueText1,outlength3
Berufliche Orientierung (BO),Vocational orientation,Annahme: keine Mitnahmen,Arbeitslosigkeit,Registered unemployment,1,j,5.3,10.7,***,Kontrollgruppe,49.3,,,68.6,Kontrollgruppe,61.6,1.2,signifikant,significant,45.3,12
Berufliche Orientierung (BO),Vocational orientation,Annahme: keine Mitnahmen,Arbeitslosigkeit,Registered unemployment,12,m,5.3,10.7,***,Kontrollgruppe,49.3,,,68.6,Kontrollgruppe,61.6,12.2,signifikant,significant,45.3,12
Berufliche Orientierung (BO),Vocational orientation,Annahme: keine Mitnahmen,Arbeitslosigkeit,Registered unemployment,15,m,5,10.9,***,Kontrollgruppe,46.2,,,65.2,Kontrollgruppe,58.2,15.2,signifikant,significant,42.2,15
Berufliche Orientierung (BO),Vocational orientation,Annahme: keine Mitnahmen,Arbeitslosigkeit,Registered unemployment,18,m,4.3,9.8,***,Kontrollgruppe,44.1,,,62.5,Kontrollgruppe,55.5,18.2,signifikant,significant,40.1,18
Berufliche Orientierung (BO),Vocational orientation,Annahme: keine Mitnahmen,Arbeitslosigkeit,Registered unemployment,2,j,3.4,8.2,***,Kontrollgruppe,41.1,,,58.4,Kontrollgruppe,51.4,2.2,signifikant,significant,37.1,24
Berufliche Orientierung (BO),Vocational orientation,Annahme: keine Mitnahmen,Arbeitslosigkeit,Registered unemployment,21,m,3.7,8.6,***,Kontrollgruppe,42.6,,,60.3,Kontrollgruppe,53.3,21.2,signifikant,significant,38.6,21
Berufliche Orientierung (BO),Vocational orientation,Annahme: keine Mitnahmen,Arbeitslosigkeit,Registered unemployment,24,m,3.4,8.2,***,Kontrollgruppe,41.1,,,58.4,Kontrollgruppe,51.4,24.2,signifikant,significant,37.1,24
Berufliche Orientierung (BO),Vocational orientation,Annahme: keine Mitnahmen,Arbeitslosigkeit,Registered unemployment,3,j,1.9,5.3,***,Kontrollgruppe,36.6,,,52.6,Kontrollgruppe,45.6,3.2,signifikant,significant,32.6,36
Berufliche Orientierung (BO),Vocational orientation,Annahme: keine Mitnahmen,Arbeitslosigkeit,Registered unemployment,3,m,8.4,12.3,***,Kontrollgruppe,67.8,,,90.2,Kontrollgruppe,83.2,3.2,signifikant,significant,63.8,3
Berufliche Orientierung (BO),Vocational orientation,Annahme: keine Mitnahmen,Arbeitslosigkeit,Registered unemployment,4,j,1.1,3.2,***,Kontrollgruppe,33.9,,,49,Kontrollgruppe,42,4.2,signifikant,significant,29.9,48
Berufliche Orientierung (BO),Vocational orientation,Annahme: keine Mitnahmen,Arbeitslosigkeit,Registered unemployment,5,j,1.1,3.4,***,Kontrollgruppe,31.2,,,46.2,Kontrollgruppe,39.2,5.2,signifikant,significant,27.2,60
Berufliche Orientierung (BO),Vocational orientation,Annahme: keine Mitnahmen,Arbeitslosigkeit,Registered unemployment,6,j,0.7,2.3,*,Kontrollgruppe,28.7,,,43.3,Kontrollgruppe,36.3,6.2,insignifikant,insignificant,24.7,72
Berufliche Orientierung (BO),Vocational orientation,Annahme: keine Mitnahmen,Arbeitslosigkeit,Registered unemployment,6,m,7.6,13,***,Kontrollgruppe,58.2,,,79.8,Kontrollgruppe,72.8,6.2,signifikant,significant,54.2,6
Berufliche Orientierung (BO),Vocational orientation,Annahme: keine Mitnahmen,Arbeitslosigkeit,Registered unemployment,9,m,6.1,11.6,***,Kontrollgruppe,52.7,,,72.9,Kontrollgruppe,65.9,9.2,signifikant,significant,48.7,9
Berufliche Orientierung (BO),Vocational orientation,Annahme: keine Mitnahmen,Beschäftigung,Employment,1,j,-1.5,-4.3,***,Kontrollgruppe,34.8,,,48.8,Kontrollgruppe,41.8,1.2,signifikant,significant,30.799999999999997,12
Berufliche Orientierung (BO),Vocational orientation,Annahme: keine Mitnahmen,Beschäftigung,Employment,12,m,-1.5,-4.3,***,Kontrollgruppe,34.8,,,48.8,Kontrollgruppe,41.8,12.2,signifikant,significant,30.799999999999997,12
Berufliche Orientierung (BO),Vocational orientation,Annahme: keine Mitnahmen,Beschäftigung,Employment,15,m,-1.4,-3.6,***,Kontrollgruppe,37.6,,,51.6,Kontrollgruppe,44.6,15.2,signifikant,significant,33.6,15
Berufliche Orientierung (BO),Vocational orientation,Annahme: keine Mitnahmen,Beschäftigung,Employment,18,m,-0.4,-1.1,**,Kontrollgruppe,39.2,,,53.2,Kontrollgruppe,46.2,18.2,signifikant,significant,35.2,18
Berufliche Orientierung (BO),Vocational orientation,Annahme: keine Mitnahmen,Beschäftigung,Employment,2,j,0.6,1.5,***,Kontrollgruppe,41.6,,,56.2,Kontrollgruppe,49.2,2.2,signifikant,significant,37.6,24
Berufliche Orientierung (BO),Vocational orientation,Annahme: keine Mitnahmen,Beschäftigung,Employment,21,m,0.1,0.3,,Kontrollgruppe,40.3,,,54.4,Kontrollgruppe,47.4,21.2,insignifikant,insignificant,36.3,21
Berufliche Orientierung (BO),Vocational orientation,Annahme: keine Mitnahmen,Beschäftigung,Employment,24,m,0.6,1.5,***,Kontrollgruppe,41.6,,,56.2,Kontrollgruppe,49.2,24.2,signifikant,significant,37.6,24
Berufliche Orientierung (BO),Vocational orientation,Annahme: keine Mitnahmen,Beschäftigung,Employment,3,j,2,4.4,***,Kontrollgruppe,43.9,,,59.9,Kontrollgruppe,52.9,3.2,signifikant,significant,39.9,36
Berufliche Orientierung (BO),Vocational orientation,Annahme: keine Mitnahmen,Beschäftigung,Employment,3,m,-2.8,-14.4,***,Kontrollgruppe,19.3,,,33.3,Kontrollgruppe,26.3,3.2,signifikant,significant,15.3,3
Berufliche Orientierung (BO),Vocational orientation,Annahme: keine Mitnahmen,Beschäftigung,Employment,4,j,2.6,5.8,***,Kontrollgruppe,44.4,,,61,Kontrollgruppe,54,4.2,signifikant,significant,40.4,48
Berufliche Orientierung (BO),Vocational orientation,Annahme: keine Mitnahmen,Beschäftigung,Employment,5,j,2.6,5.7,***,Kontrollgruppe,45.1,,,61.7,Kontrollgruppe,54.7,5.2,signifikant,significant,41.1,60
Berufliche Orientierung (BO),Vocational orientation,Annahme: keine Mitnahmen,Beschäftigung,Employment,6,j,2.7,5.8,***,Kontrollgruppe,46,,,62.6,Kontrollgruppe,55.6,6.2,signifikant,significant,42,72
Berufliche Orientierung (BO),Vocational orientation,Annahme: keine Mitnahmen,Beschäftigung,Employment,6,m,-2.6,-9.9,***,Kontrollgruppe,26.6,,,40.6,Kontrollgruppe,33.6,6.2,signifikant,significant,22.6,6
Berufliche Orientierung (BO),Vocational orientation,Annahme: keine Mitnahmen,Beschäftigung,Employment,9,m,-2.2,-7.1,***,Kontrollgruppe,31.4,,,45.4,Kontrollgruppe,38.4,9.2,signifikant,significant,27.4,9
Berufliche Orientierung (BO),Vocational orientation,Annahme: keine Mitnahmen,Erwerbsinaktivität,Economic inactivity,1,j,-3.8,-23.8,***,Kontrollgruppe,15.9,,,29.9,Kontrollgruppe,22.9,1.2,signifikant,significant,11.9,12
Berufliche Orientierung (BO),Vocational orientation,Annahme: keine Mitnahmen,Erwerbsinaktivität,Economic inactivity,12,m,-3.8,-23.8,***,Kontrollgruppe,15.9,,,29.9,Kontrollgruppe,22.9,12.2,signifikant,significant,11.9,12
Berufliche Orientierung (BO),Vocational orientation,Annahme: keine Mitnahmen,Erwerbsinaktivität,Economic inactivity,15,m,-3.7,-22.5,***,Kontrollgruppe,16.3,,,30.3,Kontrollgruppe,23.3,15.2,signifikant,significant,12.3,15
Berufliche Orientierung (BO),Vocational orientation,Annahme: keine Mitnahmen,Erwerbsinaktivität,Economic inactivity,18,m,-3.9,-23.4,***,Kontrollgruppe,16.7,,,30.7,Kontrollgruppe,23.7,18.2,signifikant,significant,12.7,18
Berufliche Orientierung (BO),Vocational orientation,Annahme: keine Mitnahmen,Erwerbsinaktivität,Economic inactivity,2,j,-4,-22.9,***,Kontrollgruppe,17.4,,,31.4,Kontrollgruppe,24.4,2.2,signifikant,significant,13.399999999999999,24
Berufliche Orientierung (BO),Vocational orientation,Annahme: keine Mitnahmen,Erwerbsinaktivität,Economic inactivity,21,m,-3.8,-22.1,***,Kontrollgruppe,17.1,,,31.1,Kontrollgruppe,24.1,21.2,signifikant,significant,13.100000000000001,21
Berufliche Orientierung (BO),Vocational orientation,Annahme: keine Mitnahmen,Erwerbsinaktivität,Economic inactivity,24,m,-4,-22.9,***,Kontrollgruppe,17.4,,,31.4,Kontrollgruppe,24.4,24.2,signifikant,significant,13.399999999999999,24
Berufliche Orientierung (BO),Vocational orientation,Annahme: keine Mitnahmen,Erwerbsinaktivität,Economic inactivity,3,j,-3.9,-20.1,***,Kontrollgruppe,19.4,,,33.4,Kontrollgruppe,26.4,3.2,signifikant,significant,15.399999999999999,36
Berufliche Orientierung (BO),Vocational orientation,Annahme: keine Mitnahmen,Erwerbsinaktivität,Economic inactivity,3,m,-5.6,-43.3,***,Kontrollgruppe,12.9,,,26.9,Kontrollgruppe,19.9,3.2,signifikant,significant,8.9,3
Berufliche Orientierung (BO),Vocational orientation,Annahme: keine Mitnahmen,Erwerbsinaktivität,Economic inactivity,4,j,-3.7,-17,***,Kontrollgruppe,21.7,,,35.7,Kontrollgruppe,28.7,4.2,signifikant,significant,17.7,48
Berufliche Orientierung (BO),Vocational orientation,Annahme: keine Mitnahmen,Erwerbsinaktivität,Economic inactivity,5,j,-3.6,-15.2,***,Kontrollgruppe,23.7,,,37.7,Kontrollgruppe,30.7,5.2,signifikant,significant,19.7,60
Berufliche Orientierung (BO),Vocational orientation,Annahme: keine Mitnahmen,Erwerbsinaktivität,Economic inactivity,6,j,-3.3,-13.1,***,Kontrollgruppe,25.3,,,39.3,Kontrollgruppe,32.3,6.2,signifikant,significant,21.3,72
Berufliche Orientierung (BO),Vocational orientation,Annahme: keine Mitnahmen,Erwerbsinaktivität,Economic inactivity,6,m,-4.9,-32.5,***,Kontrollgruppe,15.2,,,29.2,Kontrollgruppe,22.2,6.2,signifikant,significant,11.2,6
Berufliche Orientierung (BO),Vocational orientation,Annahme: keine Mitnahmen,Erwerbsinaktivität,Economic inactivity,9,m,-3.9,-24.6,***,Kontrollgruppe,15.9,,,29.9,Kontrollgruppe,22.9,9.2,signifikant,significant,11.9,9
Berufliche Orientierung (BO),Vocational orientation,Annahme: keine Mitnahmen,"Ungeförderte, unselbstständige Aktivbeschäftigung","Non-subsidised, dependent, active employment",1,j,0.2,0.9,*,Kontrollgruppe,24.7,,,38.9,Kontrollgruppe,31.9,1.2,insignifikant,insignificant,20.7,12
Berufliche Orientierung (BO),Vocational orientation,Annahme: keine Mitnahmen,"Ungeförderte, unselbstständige Aktivbeschäftigung","Non-subsidised, dependent, active employment",12,m,0.2,0.9,*,Kontrollgruppe,24.7,,,38.9,Kontrollgruppe,31.9,12.2,insignifikant,insignificant,20.7,12
