Jahr,Variable,Wert,Variable_en
2008,AT Marktanteil am Export in die Welt in %,1.11448875416663,Austria's market share of exports to the world in %
2009,AT Marktanteil am Export in die Welt in %,1.1031372001279,Austria's market share of exports to the world in %
2010,AT Marktanteil am Export in die Welt in %,1.00146845898499,Austria's market share of exports to the world in %
2011,AT Marktanteil am Export in die Welt in %,0.972082142482127,Austria's market share of exports to the world in %
2012,AT Marktanteil am Export in die Welt in %,0.904647795120712,Austria's market share of exports to the world in %
2013,AT Marktanteil am Export in die Welt in %,0.932229585260311,Austria's market share of exports to the world in %
2014,AT Marktanteil am Export in die Welt in %,0.945495440934261,Austria's market share of exports to the world in %
2015,AT Marktanteil am Export in die Welt in %,0.927264106082556,Austria's market share of exports to the world in %
2016,AT Marktanteil am Export in die Welt in %,0.947399884059945,Austria's market share of exports to the world in %
2017,AT Marktanteil am Export in die Welt in %,0.949284953852441,Austria's market share of exports to the world in %
2018,AT Marktanteil am Export in die Welt in %,0.951159602319569,Austria's market share of exports to the world in %
2019,AT Marktanteil am Export in die Welt in %,0.946148001958128,Austria's market share of exports to the world in %
2020,AT Marktanteil am Export in die Welt in %,0.971122981138934,Austria's market share of exports to the world in %
2021,AT Marktanteil am Export in die Welt in %,0.915631212487498,Austria's market share of exports to the world in %
2022,AT Marktanteil am Export in die Welt in %,0.855116758087439,Austria's market share of exports to the world in %
2023,AT Marktanteil am Export in die Welt in %,0.947242209070116,Austria's market share of exports to the world in %
2008,AT Marktanteil am Export der Welt in die EU28 in %,2.14157433144018,Austria's market share to the EU-28 in %
2009,AT Marktanteil am Export der Welt in die EU28 in %,2.155405607129,Austria's market share to the EU-28 in %
2010,AT Marktanteil am Export der Welt in die EU28 in %,2.09114311427649,Austria's market share to the EU-28 in %
2011,AT Marktanteil am Export der Welt in die EU28 in %,2.05493310336815,Austria's market share to the EU-28 in %
2012,AT Marktanteil am Export der Welt in die EU28 in %,1.9910137021289,Austria's market share to the EU-28 in %
2013,AT Marktanteil am Export der Welt in die EU28 in %,2.06695701956712,Austria's market share to the EU-28 in %
2014,AT Marktanteil am Export der Welt in die EU28 in %,2.04878415166283,Austria's market share to the EU-28 in %
2015,AT Marktanteil am Export der Welt in die EU28 in %,2.02847159021846,Austria's market share to the EU-28 in %
2016,AT Marktanteil am Export der Welt in die EU28 in %,2.03975699046832,Austria's market share to the EU-28 in %
2017,AT Marktanteil am Export der Welt in die EU28 in %,2.0699689984447,Austria's market share to the EU-28 in %
2018,AT Marktanteil am Export der Welt in die EU28 in %,2.05380869127812,Austria's market share to the EU-28 in %
2019,AT Marktanteil am Export der Welt in die EU28 in %,2.02564287356597,Austria's market share to the EU-28 in %
2020,AT Marktanteil am Export der Welt in die EU28 in %,2.09551286038874,Austria's market share to the EU-28 in %
2021,AT Marktanteil am Export der Welt in die EU28 in %,2.00535954512884,Austria's market share to the EU-28 in %
2022,AT Marktanteil am Export der Welt in die EU28 in %,1.8679630691570701,Austria's market share to the EU-28 in %
2023,AT Marktanteil am Export der Welt in die EU28 in %,2.04777891507643,Austria's market share to the EU-28 in %
2008,Bruttoinlandsausgaben für F&E in % des BIP,2.57,Gross domestic expenditure for R&D in % of GDP
2009,Bruttoinlandsausgaben für F&E in % des BIP,2.6,Gross domestic expenditure for R&D in % of GDP
2010,Bruttoinlandsausgaben für F&E in % des BIP,2.73,Gross domestic expenditure for R&D in % of GDP
2011,Bruttoinlandsausgaben für F&E in % des BIP,2.67,Gross domestic expenditure for R&D in % of GDP
2012,Bruttoinlandsausgaben für F&E in % des BIP,2.91,Gross domestic expenditure for R&D in % of GDP
2013,Bruttoinlandsausgaben für F&E in % des BIP,2.95,Gross domestic expenditure for R&D in % of GDP
2014,Bruttoinlandsausgaben für F&E in % des BIP,3.08,Gross domestic expenditure for R&D in % of GDP
2015,Bruttoinlandsausgaben für F&E in % des BIP,3.05,Gross domestic expenditure for R&D in % of GDP
2016,Bruttoinlandsausgaben für F&E in % des BIP,3.12,Gross domestic expenditure for R&D in % of GDP
2017,Bruttoinlandsausgaben für F&E in % des BIP,3.06,Gross domestic expenditure for R&D in % of GDP
2018,Bruttoinlandsausgaben für F&E in % des BIP,3.09,Gross domestic expenditure for R&D in % of GDP
2019,Bruttoinlandsausgaben für F&E in % des BIP,3.13,Gross domestic expenditure for R&D in % of GDP
2020,Bruttoinlandsausgaben für F&E in % des BIP,3.2,Gross domestic expenditure for R&D in % of GDP
2021,Bruttoinlandsausgaben für F&E in % des BIP,3.17,Gross domestic expenditure for R&D in % of GDP
2022,Bruttoinlandsausgaben für F&E in % des BIP,3.2,Gross domestic expenditure for R&D in % of GDP
2023,Bruttoinlandsausgaben für F&E in % des BIP,3.22,Gross domestic expenditure for R&D in % of GDP
2008,Ausgaben des Unternehmenssektors für F&E in % des BIP,1.18483455882353,Expenditures in the business sector on R&D in % of GDP
2009,Ausgaben des Unternehmenssektors für F&E in % des BIP,1.22205943618942,Expenditures in the business sector on R&D in % of GDP
2010,Ausgaben des Unternehmenssektors für F&E in % des BIP,1.22992565055762,Expenditures in the business sector on R&D in % of GDP
2011,Ausgaben des Unternehmenssektors für F&E in % des BIP,1.23203172862993,Expenditures in the business sector on R&D in % of GDP
2012,Ausgaben des Unternehmenssektors für F&E in % des BIP,1.33165855954809,Expenditures in the business sector on R&D in % of GDP
2013,Ausgaben des Unternehmenssektors für F&E in % des BIP,1.44044642030194,Expenditures in the business sector on R&D in % of GDP
2014,Ausgaben des Unternehmenssektors für F&E in % des BIP,1.47119315623593,Expenditures in the business sector on R&D in % of GDP
2015,Ausgaben des Unternehmenssektors für F&E in % des BIP,1.51689662183751,Expenditures in the business sector on R&D in % of GDP
2016,Ausgaben des Unternehmenssektors für F&E in % des BIP,1.50373870976762,Expenditures in the business sector on R&D in % of GDP
2017,Ausgaben des Unternehmenssektors für F&E in % des BIP,1.49794780160277,Expenditures in the business sector on R&D in % of GDP
2018,Ausgaben des Unternehmenssektors für F&E in % des BIP,1.45628260700288,Expenditures in the business sector on R&D in % of GDP
2019,Ausgaben des Unternehmenssektors für F&E in % des BIP,1.50624165974268,Expenditures in the business sector on R&D in % of GDP
2020,Ausgaben des Unternehmenssektors für F&E in % des BIP,1.32024196934705,Expenditures in the business sector on R&D in % of GDP
2021,Ausgaben des Unternehmenssektors für F&E in % des BIP,1.4212630801428,Expenditures in the business sector on R&D in % of GDP
2022,Ausgaben des Unternehmenssektors für F&E in % des BIP,1.42541941248743,Expenditures in the business sector on R&D in % of GDP
2023,Ausgaben des Unternehmenssektors für F&E in % des BIP,1.39270124628092,Expenditures in the business sector on R&D in % of GDP
2008,Produktion je Beschäftigtem/Beschäftigter (rechte Achse),278.981712277232,Production per person employed (right axis)
2009,Produktion je Beschäftigtem/Beschäftigter (rechte Achse),243.72126417911,Production per person employed (right axis)
2010,Produktion je Beschäftigtem/Beschäftigter (rechte Achse),272.73376394255,Production per person employed (right axis)
2011,Produktion je Beschäftigtem/Beschäftigter (rechte Achse),297.161919947995,Production per person employed (right axis)
2012,Produktion je Beschäftigtem/Beschäftigter (rechte Achse),277.4775329824,Production per person employed (right axis)
2013,Produktion je Beschäftigtem/Beschäftigter (rechte Achse),277.88186959961,Production per person employed (right axis)
2014,Produktion je Beschäftigtem/Beschäftigter (rechte Achse),297.039983306115,Production per person employed (right axis)
2015,Produktion je Beschäftigtem/Beschäftigter (rechte Achse),297.298104439713,Production per person employed (right axis)
2016,Produktion je Beschäftigtem/Beschäftigter (rechte Achse),296.956256715978,Production per person employed (right axis)
2017,Produktion je Beschäftigtem/Beschäftigter (rechte Achse),309.626398131562,Production per person employed (right axis)
2018,Produktion je Beschäftigtem/Beschäftigter (rechte Achse),318.510031988041,Production per person employed (right axis)
2019,Produktion je Beschäftigtem/Beschäftigter (rechte Achse),317.557474273843,Production per person employed (right axis)
2020,Produktion je Beschäftigtem/Beschäftigter (rechte Achse),292.470366518681,Production per person employed (right axis)
2021,Produktion je Beschäftigtem/Beschäftigter (rechte Achse),344.438966470971,Production per person employed (right axis)
2022,Produktion je Beschäftigtem/Beschäftigter (rechte Achse),391.752304381851,Production per person employed (right axis)
2023,Produktion je Beschäftigtem/Beschäftigter (rechte Achse),381.147530404139,Production per person employed (right axis)
