var_short,jahr,quartal,monat,bl,wert,name_de,name_en,description_de,description_en,type,source_de,source_en,meta_info_de,meta_info_en,datum,date,BL_long,BL_eng
BPEW1,2014,1,1,AT,14.23,Bau – Geschäftslageerwartungen in den nächsten 6 Monaten,Construction – business situation expectations in the next 6 months,Saldo,Balance,WIFO-Konjunkturtest,Q: WIFO in Kooperation mit der EU (DG ECFIN).,Source: WIFO in cooperation with the EU (DG ECFIN).,Saldo … Differenz der Anteile von positiven und negativen Einschätzungen der antwortenden Unternehmen in Prozentpunkten. Angezeigt wird der Wert des ersten Monats im Quartal.,Balance … Difference in percentage points between positive and negative assessments by responding companies. The value of the first month of the quarter is displayed.,I. Quartal 2014,First Quarter 2014,Österreich,Austria
BPEW1,2014,2,4,AT,8.1484,Bau – Geschäftslageerwartungen in den nächsten 6 Monaten,Construction – business situation expectations in the next 6 months,Saldo,Balance,WIFO-Konjunkturtest,Q: WIFO in Kooperation mit der EU (DG ECFIN).,Source: WIFO in cooperation with the EU (DG ECFIN).,Saldo … Differenz der Anteile von positiven und negativen Einschätzungen der antwortenden Unternehmen in Prozentpunkten. Angezeigt wird der Wert des ersten Monats im Quartal.,Balance … Difference in percentage points between positive and negative assessments by responding companies. The value of the first month of the quarter is displayed.,II. Quartal 2014,Second Quarter 2014,Österreich,Austria
BPEW1,2014,3,7,AT,10.6303,Bau – Geschäftslageerwartungen in den nächsten 6 Monaten,Construction – business situation expectations in the next 6 months,Saldo,Balance,WIFO-Konjunkturtest,Q: WIFO in Kooperation mit der EU (DG ECFIN).,Source: WIFO in cooperation with the EU (DG ECFIN).,Saldo … Differenz der Anteile von positiven und negativen Einschätzungen der antwortenden Unternehmen in Prozentpunkten. Angezeigt wird der Wert des ersten Monats im Quartal.,Balance … Difference in percentage points between positive and negative assessments by responding companies. The value of the first month of the quarter is displayed.,III. Quartal 2014,Third Quarter 2014,Österreich,Austria
BPEW1,2014,4,10,AT,11.4028,Bau – Geschäftslageerwartungen in den nächsten 6 Monaten,Construction – business situation expectations in the next 6 months,Saldo,Balance,WIFO-Konjunkturtest,Q: WIFO in Kooperation mit der EU (DG ECFIN).,Source: WIFO in cooperation with the EU (DG ECFIN).,Saldo … Differenz der Anteile von positiven und negativen Einschätzungen der antwortenden Unternehmen in Prozentpunkten. Angezeigt wird der Wert des ersten Monats im Quartal.,Balance … Difference in percentage points between positive and negative assessments by responding companies. The value of the first month of the quarter is displayed.,IV. Quartal 2014,Fourth Quarter 2014,Österreich,Austria
BPEW1,2014,1,1,B,9.691,Bau – Geschäftslageerwartungen in den nächsten 6 Monaten,Construction – business situation expectations in the next 6 months,Saldo,Balance,WIFO-Konjunkturtest,Q: WIFO in Kooperation mit der EU (DG ECFIN).,Source: WIFO in cooperation with the EU (DG ECFIN).,Saldo … Differenz der Anteile von positiven und negativen Einschätzungen der antwortenden Unternehmen in Prozentpunkten. Angezeigt wird der Wert des ersten Monats im Quartal.,Balance … Difference in percentage points between positive and negative assessments by responding companies. The value of the first month of the quarter is displayed.,I. Quartal 2014,First Quarter 2014,Burgenland,Burgenland
BPEW1,2014,2,4,B,6.9861,Bau – Geschäftslageerwartungen in den nächsten 6 Monaten,Construction – business situation expectations in the next 6 months,Saldo,Balance,WIFO-Konjunkturtest,Q: WIFO in Kooperation mit der EU (DG ECFIN).,Source: WIFO in cooperation with the EU (DG ECFIN).,Saldo … Differenz der Anteile von positiven und negativen Einschätzungen der antwortenden Unternehmen in Prozentpunkten. Angezeigt wird der Wert des ersten Monats im Quartal.,Balance … Difference in percentage points between positive and negative assessments by responding companies. The value of the first month of the quarter is displayed.,II. Quartal 2014,Second Quarter 2014,Burgenland,Burgenland
BPEW1,2014,3,7,B,10.9544,Bau – Geschäftslageerwartungen in den nächsten 6 Monaten,Construction – business situation expectations in the next 6 months,Saldo,Balance,WIFO-Konjunkturtest,Q: WIFO in Kooperation mit der EU (DG ECFIN).,Source: WIFO in cooperation with the EU (DG ECFIN).,Saldo … Differenz der Anteile von positiven und negativen Einschätzungen der antwortenden Unternehmen in Prozentpunkten. Angezeigt wird der Wert des ersten Monats im Quartal.,Balance … Difference in percentage points between positive and negative assessments by responding companies. The value of the first month of the quarter is displayed.,III. Quartal 2014,Third Quarter 2014,Burgenland,Burgenland
BPEW1,2014,4,10,B,1.1245,Bau – Geschäftslageerwartungen in den nächsten 6 Monaten,Construction – business situation expectations in the next 6 months,Saldo,Balance,WIFO-Konjunkturtest,Q: WIFO in Kooperation mit der EU (DG ECFIN).,Source: WIFO in cooperation with the EU (DG ECFIN).,Saldo … Differenz der Anteile von positiven und negativen Einschätzungen der antwortenden Unternehmen in Prozentpunkten. Angezeigt wird der Wert des ersten Monats im Quartal.,Balance … Difference in percentage points between positive and negative assessments by responding companies. The value of the first month of the quarter is displayed.,IV. Quartal 2014,Fourth Quarter 2014,Burgenland,Burgenland
BPEW1,2014,1,1,K,16.2747,Bau – Geschäftslageerwartungen in den nächsten 6 Monaten,Construction – business situation expectations in the next 6 months,Saldo,Balance,WIFO-Konjunkturtest,Q: WIFO in Kooperation mit der EU (DG ECFIN).,Source: WIFO in cooperation with the EU (DG ECFIN).,Saldo … Differenz der Anteile von positiven und negativen Einschätzungen der antwortenden Unternehmen in Prozentpunkten. Angezeigt wird der Wert des ersten Monats im Quartal.,Balance … Difference in percentage points between positive and negative assessments by responding companies. The value of the first month of the quarter is displayed.,I. Quartal 2014,First Quarter 2014,Kärnten,Carinthia
BPEW1,2014,2,4,K,2.4929,Bau – Geschäftslageerwartungen in den nächsten 6 Monaten,Construction – business situation expectations in the next 6 months,Saldo,Balance,WIFO-Konjunkturtest,Q: WIFO in Kooperation mit der EU (DG ECFIN).,Source: WIFO in cooperation with the EU (DG ECFIN).,Saldo … Differenz der Anteile von positiven und negativen Einschätzungen der antwortenden Unternehmen in Prozentpunkten. Angezeigt wird der Wert des ersten Monats im Quartal.,Balance … Difference in percentage points between positive and negative assessments by responding companies. The value of the first month of the quarter is displayed.,II. Quartal 2014,Second Quarter 2014,Kärnten,Carinthia
