Jahr,Wert,Variable,Notiz,wds
2012,2.91,Bruttoinlandsausgaben für F&E in % des BIP,"*  Ausgaben für Forschung und experimentelle Entwicklung - Insgesamt, in % des BIP",ih:wds:gen_u37_fuebip
2013,2.95,Bruttoinlandsausgaben für F&E in % des BIP,"*  Ausgaben für Forschung und experimentelle Entwicklung - Insgesamt, in % des BIP",ih:wds:gen_u37_fuebip
2014,3.08,Bruttoinlandsausgaben für F&E in % des BIP,"*  Ausgaben für Forschung und experimentelle Entwicklung - Insgesamt, in % des BIP",ih:wds:gen_u37_fuebip
2015,3.05,Bruttoinlandsausgaben für F&E in % des BIP,"*  Ausgaben für Forschung und experimentelle Entwicklung - Insgesamt, in % des BIP",ih:wds:gen_u37_fuebip
2016,3.12,Bruttoinlandsausgaben für F&E in % des BIP,"*  Ausgaben für Forschung und experimentelle Entwicklung - Insgesamt, in % des BIP",ih:wds:gen_u37_fuebip
2017,3.06,Bruttoinlandsausgaben für F&E in % des BIP,"*  Ausgaben für Forschung und experimentelle Entwicklung - Insgesamt, in % des BIP",ih:wds:gen_u37_fuebip
2018,3.09,Bruttoinlandsausgaben für F&E in % des BIP,"*  Ausgaben für Forschung und experimentelle Entwicklung - Insgesamt, in % des BIP",ih:wds:gen_u37_fuebip
2019,3.13,Bruttoinlandsausgaben für F&E in % des BIP,"*  Ausgaben für Forschung und experimentelle Entwicklung - Insgesamt, in % des BIP",ih:wds:gen_u37_fuebip
2020,3.2,Bruttoinlandsausgaben für F&E in % des BIP,"*  Ausgaben für Forschung und experimentelle Entwicklung - Insgesamt, in % des BIP",ih:wds:gen_u37_fuebip
2021,3.17,Bruttoinlandsausgaben für F&E in % des BIP,"*  Ausgaben für Forschung und experimentelle Entwicklung - Insgesamt, in % des BIP",ih:wds:gen_u37_fuebip
2022,3.2,Bruttoinlandsausgaben für F&E in % des BIP,"*  Ausgaben für Forschung und experimentelle Entwicklung - Insgesamt, in % des BIP",ih:wds:gen_u37_fuebip
2023,3.22,Bruttoinlandsausgaben für F&E in % des BIP,"*  Ausgaben für Forschung und experimentelle Entwicklung - Insgesamt, in % des BIP",ih:wds:gen_u37_fuebip
2012,0.9073489,AT Marktanteil am Export in die Welt in %,(Austria exports to World/World exports to World)*100,
2013,0.93395015,AT Marktanteil am Export in die Welt in %,(Austria exports to World/World exports to World)*101,
2014,0.94617116,AT Marktanteil am Export in die Welt in %,(Austria exports to World/World exports to World)*102,
2015,0.93008759,AT Marktanteil am Export in die Welt in %,(Austria exports to World/World exports to World)*103,
2016,0.9582915,AT Marktanteil am Export in die Welt in %,(Austria exports to World/World exports to World)*104,
2017,0.95755851,AT Marktanteil am Export in die Welt in %,(Austria exports to World/World exports to World)*105,
2018,0.95645628,AT Marktanteil am Export in die Welt in %,(Austria exports to World/World exports to World)*106,
2019,0.95280541,AT Marktanteil am Export in die Welt in %,(Austria exports to World/World exports to World)*107,
2020,0.97522697,AT Marktanteil am Export in die Welt in %,(Austria exports to World/World exports to World)*108,
2021,0.91920383,AT Marktanteil am Export in die Welt in %,(Austria exports to World/World exports to World)*109,
2022,0.84979319,AT Marktanteil am Export in die Welt in %,(Austria exports to World/World exports to World)*110,
2023,,AT Marktanteil am Export in die Welt in %,(Austria exports to World/World exports to World)*111,
2012,1.98049807,AT Marktanteil am Export der Welt in die EU28 in %,(Austria exports to EU 28/World exports to EU 28)*100,
2013,2.06215007,AT Marktanteil am Export der Welt in die EU28 in %,(Austria exports to EU 28/World exports to EU 28)*101,
2014,2.04479292,AT Marktanteil am Export der Welt in die EU28 in %,(Austria exports to EU 28/World exports to EU 28)*102,
2015,2.02494598,AT Marktanteil am Export der Welt in die EU28 in %,(Austria exports to EU 28/World exports to EU 28)*103,
2016,2.03982322,AT Marktanteil am Export der Welt in die EU28 in %,(Austria exports to EU 28/World exports to EU 28)*104,
2017,2.0687431,AT Marktanteil am Export der Welt in die EU28 in %,(Austria exports to EU 28/World exports to EU 28)*105,
2018,2.05275617,AT Marktanteil am Export der Welt in die EU28 in %,(Austria exports to EU 28/World exports to EU 28)*106,
2019,2.02514398,AT Marktanteil am Export der Welt in die EU28 in %,(Austria exports to EU 28/World exports to EU 28)*107,
2020,2.09665018,AT Marktanteil am Export der Welt in die EU28 in %,(Austria exports to EU 28/World exports to EU 28)*108,
2021,2.0087991,AT Marktanteil am Export der Welt in die EU28 in %,(Austria exports to EU 28/World exports to EU 28)*109,
2022,1.8648496,AT Marktanteil am Export der Welt in die EU28 in %,(Austria exports to EU 28/World exports to EU 28)*110,
2023,,AT Marktanteil am Export der Welt in die EU28 in %,(Austria exports to EU 28/World exports to EU 28)*111,
