date,aktuell,erwartet,econclimate,ampel
1997-01-01T00:00:00Z,-3.6849,0.7782,-1.4623,0.881201567
1997-02-01T00:00:00Z,0.3254,2.4537,1.3493,0.905568431
1997-03-01T00:00:00Z,1.5375,4.7256,3.113,0.910487497
1997-04-01T00:00:00Z,1.9509,0.9223,1.458,0.873207284
1997-05-01T00:00:00Z,2.9858,3.9505,3.4988,0.747552457
1997-06-01T00:00:00Z,3.7621000000000002,3.3494,3.5614,0.717816078
1997-07-01T00:00:00Z,-0.1933,0.2502,0.0466,0.72157329
1997-08-01T00:00:00Z,3.6766,2.0194,2.8371,0.671338348
1997-09-01T00:00:00Z,5.2245,5.8711,5.5328,0.731450784
1997-10-01T00:00:00Z,4.5373,4.619,4.5741,0.764725138
1997-11-01T00:00:00Z,7.926,6.946,7.4417,0.728048007
1997-12-01T00:00:00Z,5.7391,9.9505,7.861,0.70276013
1998-01-01T00:00:00Z,8.5552,5.8043,7.162,0.751559459
1998-02-01T00:00:00Z,9.3716,10.8245,10.089,0.582588718
1998-03-01T00:00:00Z,12.026,6.2263,9.135,0.497264312
1998-04-01T00:00:00Z,5.3821,4.8803,5.1672,0.566947109
1998-05-01T00:00:00Z,5.539,5.871,5.7296,0.547665538
1998-06-01T00:00:00Z,10.9224,9.2964,10.0932,0.418234271
1998-07-01T00:00:00Z,9.7603,7.3157,8.5536,0.467898266
1998-08-01T00:00:00Z,7.329,4.7717,6.0602,0.453314973
1998-09-01T00:00:00Z,9.3411,3.3943,6.3408,0.279216619
1998-10-01T00:00:00Z,4.7326,3.3941,4.05,0.175809091
1998-11-01T00:00:00Z,3.3952,2.7088,3.059,0.150195299
1998-12-01T00:00:00Z,4.9721,0.7513,2.8573,0.0929291386
1999-01-01T00:00:00Z,5.8631,4.7509,5.2747,0.0935582637
1999-02-01T00:00:00Z,3.4628,-1.4167,1.014,0.251047102
1999-03-01T00:00:00Z,-0.7239,-0.4924,-0.6197,0.249695242
1999-04-01T00:00:00Z,3.2516,2.3871000000000002,2.8302,0.244084205
1999-05-01T00:00:00Z,2.7603,0.3415,1.5216,0.425215857
1999-06-01T00:00:00Z,-0.0187,0.933,0.4594,0.590221062
1999-07-01T00:00:00Z,5.4665,5.1075,5.2854,0.509201742
1999-08-01T00:00:00Z,6.8426,6.0147,6.4289,0.662236978
1999-09-01T00:00:00Z,5.3808,6.7579,6.0772,0.742700187
1999-10-01T00:00:00Z,10.6371,7.7773,9.2056,0.720567057
1999-11-01T00:00:00Z,9.1639,5.538,7.3487,0.661800577
1999-12-01T00:00:00Z,11.1981,4.894,8.0347,0.576824682
2000-01-01T00:00:00Z,11.5861,7.2449,9.3969,0.558879855
2000-02-01T00:00:00Z,7.1641,6.0769,6.6319,0.657819543
2000-03-01T00:00:00Z,10.7907,9.4309,10.1108,0.640940022
2000-04-01T00:00:00Z,16.3259,13.5884,14.9458,0.582903274
2000-05-01T00:00:00Z,14.9198,11.265,13.0811,0.710634768
2000-06-01T00:00:00Z,12.866,9.1226,11.0049,0.633036369
2000-07-01T00:00:00Z,15.1506,10.7043,12.923,0.448326785
2000-08-01T00:00:00Z,12.0129,11.8354,11.9205,0.365450933
2000-09-01T00:00:00Z,10.788,8.5201,9.6537,0.438041238
2000-10-01T00:00:00Z,12.1487,9.8176,10.9805,0.357525413
2000-11-01T00:00:00Z,12.3287,10.3808,11.3496,0.260369131
2000-12-01T00:00:00Z,12.3039,9.0896,10.6808,0.28892416
2001-01-01T00:00:00Z,10.4553,6.8755,8.655,0.232170016
2001-02-01T00:00:00Z,10.2145,6.9802,8.5787,0.111485011
2001-03-01T00:00:00Z,7.2581,6.0298,6.6043,0.0769906018
2001-04-01T00:00:00Z,5.8038,5.571,5.6491,0.0726597253
2001-05-01T00:00:00Z,9.2098,5.2966,7.2184,0.0309679883
2001-06-01T00:00:00Z,4.7661,-0.8045,1.9416,0.0301684882
2001-07-01T00:00:00Z,0.1515,-1.0068,-0.4197,0.0272475979
2001-08-01T00:00:00Z,-0.3961,-3.0837,-1.7432,0.00927066492
2001-09-01T00:00:00Z,-3.3276,-6.1313,-4.7281,0.0143161901
2001-10-01T00:00:00Z,-4.9295,-8.2522,-6.5643,0.0155548007
2001-11-01T00:00:00Z,-5.665,-7.0309,-6.3203,0.0460122879
2001-12-01T00:00:00Z,-9.3451,-4.8906,-7.1113,0.234508327
2002-01-01T00:00:00Z,-9.0425,-3.9198,-6.5017,0.412776715
2002-02-01T00:00:00Z,-4.7473,1.7468,-1.5031,0.590172459
2002-03-01T00:00:00Z,-3.5633,3.6181,0.0278,0.745901493
2002-04-01T00:00:00Z,-1.2817,1.2193,-0.0338,0.851054457
2002-05-01T00:00:00Z,-1.3239,0.4718,-0.4248,0.773314466
2002-06-01T00:00:00Z,-0.5869,0.0976,-0.2767,0.602932387
2002-07-01T00:00:00Z,-2.7975,-0.7333,-1.7946,0.462451654
2002-08-01T00:00:00Z,-5.0075,-1.7255,-3.3598,0.464893937
2002-09-01T00:00:00Z,-5.9569,-2.1559,-4.0182,0.424587778
2002-10-01T00:00:00Z,-1.0366,1.417,0.1961,0.462959177
2002-11-01T00:00:00Z,-1.3136,0.9749,-0.1853,0.5645143
2002-12-01T00:00:00Z,0.1306,0.1949,0.1464,0.71008151
2003-01-01T00:00:00Z,-1.3228,1.4741,0.0836,0.593575796
2003-02-01T00:00:00Z,1.9342,0.9467,1.4516,0.65280682
2003-03-01T00:00:00Z,-0.2734,-3.5482,-1.93,0.596606553
2003-04-01T00:00:00Z,1.6314,-0.3409,0.6332,0.63331253
2003-05-01T00:00:00Z,-3.6508,-1.6782,-2.6628,0.588686531
2003-06-01T00:00:00Z,-1.8221,1.7971,0.0368,0.700936539
2003-07-01T00:00:00Z,-0.06,1.0633,0.5455,0.736249652
2003-08-01T00:00:00Z,-0.3499,0.8633,0.3007,0.825161129
2003-09-01T00:00:00Z,3.2672,2.6373,2.9532,0.821339768
2003-10-01T00:00:00Z,5.2818,5.4385,5.3809,0.858039104
2003-11-01T00:00:00Z,5.0652,4.6029,4.8557,0.862112336
2003-12-01T00:00:00Z,6.7277,4.167,5.4634,0.675059098
2004-01-01T00:00:00Z,5.3973,5.5945,5.5324,0.517676022
2004-02-01T00:00:00Z,1.0386,5.2581,3.109,0.474619118
2004-03-01T00:00:00Z,1.5015,7.2095,4.34,0.442886117
2004-04-01T00:00:00Z,3.4823,8.2521,5.8691,0.440965211
2004-05-01T00:00:00Z,5.3921,6.8166,6.1527,0.570374225
2004-06-01T00:00:00Z,5.127,7.1103,6.1734,0.729054885
2004-07-01T00:00:00Z,6.4688,7.019,6.8013,0.800624507
2004-08-01T00:00:00Z,7.8291,7.5543,7.7724,0.784408649
2004-09-01T00:00:00Z,8.7557,7.1641,8.0493,0.738385804
2004-10-01T00:00:00Z,8.0076,7.6331,7.9316,0.699379485
2004-11-01T00:00:00Z,7.3979,6.2183,6.7764,0.561162963
2004-12-01T00:00:00Z,8.2491,6.4235,7.3079,0.392385793
2005-01-01T00:00:00Z,7.502,4.8656,6.1747,0.261092078
2005-02-01T00:00:00Z,3.7527,2.3668,3.0287,0.221010718
2005-03-01T00:00:00Z,-1.1092,3.0486,0.9054,0.181917257
2005-04-01T00:00:00Z,1.0106,5.6665,3.3175,0.157758121
2005-05-01T00:00:00Z,1.7959,3.562,2.6535,0.218726978
2005-06-01T00:00:00Z,0.4315,1.8487,1.1206,0.28828353
2005-07-01T00:00:00Z,2.7537,2.621,2.6858,0.342891639
2005-08-01T00:00:00Z,2.2893,1.7713,2.0431,0.407055023
2005-09-01T00:00:00Z,4.1146,4.5061,4.3058,0.567009332
2005-10-01T00:00:00Z,3.601,4.4914,4.0231,0.683890346
2005-11-01T00:00:00Z,5.5604,4.9726,5.2601,0.791800274
2005-12-01T00:00:00Z,8.214,4.4976,6.3635,0.752260751
2006-01-01T00:00:00Z,8.4352,8.3934,8.4219,0.745465582
2006-02-01T00:00:00Z,7.4861,8.0223,7.6779,0.746672004
2006-03-01T00:00:00Z,8.0112,7.0737,7.3956,0.761917268
2006-04-01T00:00:00Z,10.2796,9.2705,9.7214,0.76177496200000006
2006-05-01T00:00:00Z,14.8165,9.223,11.9665,0.86496274
2006-06-01T00:00:00Z,15.2238,12.1463,13.6453,0.883184992
2006-07-01T00:00:00Z,16.8716,12.1751,14.5065,0.87607698
2006-08-01T00:00:00Z,17.13,10.7656,13.9398,0.785704675
2006-09-01T00:00:00Z,18.3089,13.8228,16.0793,0.785595851
2006-10-01T00:00:00Z,17.0299,12.3927,14.7015,0.762460569
2006-11-01T00:00:00Z,19.5614,13.2316,16.3835,0.741570188
2006-12-01T00:00:00Z,20.0101,13.1489,16.5367,0.641098273
2007-01-01T00:00:00Z,19.4494,12.899,16.1608,0.643029126
2007-02-01T00:00:00Z,18.5324,12.7822,15.6395,0.597630284
2007-03-01T00:00:00Z,19.8099,12.5702,16.1566,0.543422684
2007-04-01T00:00:00Z,21.3079,13.6759,17.3888,0.531218069
2007-05-01T00:00:00Z,21.12,14.0171,17.5651,0.493463872
2007-06-01T00:00:00Z,19.9297,14.0021,16.9825,0.427180779
2007-07-01T00:00:00Z,17.8329,14.825,16.3288,0.311433803
2007-08-01T00:00:00Z,18.6581,13.3431,15.981,0.215683154
2007-09-01T00:00:00Z,16.5755,12.6259,14.6071,0.128349267
2007-10-01T00:00:00Z,15.4509,13.3784,14.3968,0.101400993
2007-11-01T00:00:00Z,14.7921,10.7261,12.718,0.0726461869
2007-12-01T00:00:00Z,12.7395,11.0053,11.8377,0.0713794466
2008-01-01T00:00:00Z,12.3068,10.4295,11.3261,0.121114212
2008-02-01T00:00:00Z,12.9937,8.5023,10.7355,0.120100098
2008-03-01T00:00:00Z,15.2328,7.372,11.3418,0.115876221
2008-04-01T00:00:00Z,11.6378,6.9841,9.4656,0.12917671
2008-05-01T00:00:00Z,9.0785,7.3562,8.3894,0.114632028
2008-06-01T00:00:00Z,10.2787,7.7727,9.147,0.0591901691
2008-07-01T00:00:00Z,5.2901,3.9647,4.6237,0.0567786869
2008-08-01T00:00:00Z,6.9565,1.6897,4.2865,0.0505534821
2008-09-01T00:00:00Z,4.6004,2.0219,3.3074,0.0226822525
2008-10-01T00:00:00Z,1.6129,-4.8878,-1.636,0.0217377605
2008-11-01T00:00:00Z,-5.4656,-13.0295,-9.2559,0.0280841309
2008-12-01T00:00:00Z,-11.0756,-15.884,-13.4828,0.0204687647
2009-01-01T00:00:00Z,-8.4144,-18.8866,-13.6523,0.0203305099
2009-02-01T00:00:00Z,-13.005,-24.3419,-18.6745,0.0208188249
2009-03-01T00:00:00Z,-17.299,-27.4597,-22.3795,0.037239871
