bl,var_short,jahr,quartal,monat,wert,name_de,name_en,description_de,description_en,type,BL_long,BL_eng
AT,BPEW1,2019,1,1,25.9178,Bau – Geschäftslageerwartungen in den n. 6 Monaten,Construction – business situation expectations in the next 6 months,Differenz der Anteile von positiven und negativen Einschätzungen der antwortenden Unternehmen in Prozentpunkten,Difference in percentage points between positive and negative assessments by responding companies,WIFO-Konjunkturtest,Österreich,Austria
AT,BPEW1,2019,2,4,19.3616,Bau – Geschäftslageerwartungen in den n. 6 Monaten,Construction – business situation expectations in the next 6 months,Differenz der Anteile von positiven und negativen Einschätzungen der antwortenden Unternehmen in Prozentpunkten,Difference in percentage points between positive and negative assessments by responding companies,WIFO-Konjunkturtest,Österreich,Austria
AT,BPEW1,2019,3,7,19.7037,Bau – Geschäftslageerwartungen in den n. 6 Monaten,Construction – business situation expectations in the next 6 months,Differenz der Anteile von positiven und negativen Einschätzungen der antwortenden Unternehmen in Prozentpunkten,Difference in percentage points between positive and negative assessments by responding companies,WIFO-Konjunkturtest,Österreich,Austria
AT,BPEW1,2019,4,10,17.5252,Bau – Geschäftslageerwartungen in den n. 6 Monaten,Construction – business situation expectations in the next 6 months,Differenz der Anteile von positiven und negativen Einschätzungen der antwortenden Unternehmen in Prozentpunkten,Difference in percentage points between positive and negative assessments by responding companies,WIFO-Konjunkturtest,Österreich,Austria
AT,BPEW1,2020,1,1,20.8345,Bau – Geschäftslageerwartungen in den n. 6 Monaten,Construction – business situation expectations in the next 6 months,Differenz der Anteile von positiven und negativen Einschätzungen der antwortenden Unternehmen in Prozentpunkten,Difference in percentage points between positive and negative assessments by responding companies,WIFO-Konjunkturtest,Österreich,Austria
AT,BPEW1,2020,2,4,12.8751,Bau – Geschäftslageerwartungen in den n. 6 Monaten,Construction – business situation expectations in the next 6 months,Differenz der Anteile von positiven und negativen Einschätzungen der antwortenden Unternehmen in Prozentpunkten,Difference in percentage points between positive and negative assessments by responding companies,WIFO-Konjunkturtest,Österreich,Austria
AT,BPEW1,2020,3,7,14.2901,Bau – Geschäftslageerwartungen in den n. 6 Monaten,Construction – business situation expectations in the next 6 months,Differenz der Anteile von positiven und negativen Einschätzungen der antwortenden Unternehmen in Prozentpunkten,Difference in percentage points between positive and negative assessments by responding companies,WIFO-Konjunkturtest,Österreich,Austria
AT,BPEW1,2020,4,10,17.1868,Bau – Geschäftslageerwartungen in den n. 6 Monaten,Construction – business situation expectations in the next 6 months,Differenz der Anteile von positiven und negativen Einschätzungen der antwortenden Unternehmen in Prozentpunkten,Difference in percentage points between positive and negative assessments by responding companies,WIFO-Konjunkturtest,Österreich,Austria
AT,BPEW1,2021,1,1,16.5812,Bau – Geschäftslageerwartungen in den n. 6 Monaten,Construction – business situation expectations in the next 6 months,Differenz der Anteile von positiven und negativen Einschätzungen der antwortenden Unternehmen in Prozentpunkten,Difference in percentage points between positive and negative assessments by responding companies,WIFO-Konjunkturtest,Österreich,Austria
AT,BPEW1,2021,2,4,45.6644,Bau – Geschäftslageerwartungen in den n. 6 Monaten,Construction – business situation expectations in the next 6 months,Differenz der Anteile von positiven und negativen Einschätzungen der antwortenden Unternehmen in Prozentpunkten,Difference in percentage points between positive and negative assessments by responding companies,WIFO-Konjunkturtest,Österreich,Austria
AT,BPEW1,2021,3,7,59.2649,Bau – Geschäftslageerwartungen in den n. 6 Monaten,Construction – business situation expectations in the next 6 months,Differenz der Anteile von positiven und negativen Einschätzungen der antwortenden Unternehmen in Prozentpunkten,Difference in percentage points between positive and negative assessments by responding companies,WIFO-Konjunkturtest,Österreich,Austria
AT,BPEW1,2021,4,10,60.2437,Bau – Geschäftslageerwartungen in den n. 6 Monaten,Construction – business situation expectations in the next 6 months,Differenz der Anteile von positiven und negativen Einschätzungen der antwortenden Unternehmen in Prozentpunkten,Difference in percentage points between positive and negative assessments by responding companies,WIFO-Konjunkturtest,Österreich,Austria
AT,BPEW1,2022,1,1,63.3262,Bau – Geschäftslageerwartungen in den n. 6 Monaten,Construction – business situation expectations in the next 6 months,Differenz der Anteile von positiven und negativen Einschätzungen der antwortenden Unternehmen in Prozentpunkten,Difference in percentage points between positive and negative assessments by responding companies,WIFO-Konjunkturtest,Österreich,Austria
AT,BPEW1,2022,2,4,80.895,Bau – Geschäftslageerwartungen in den n. 6 Monaten,Construction – business situation expectations in the next 6 months,Differenz der Anteile von positiven und negativen Einschätzungen der antwortenden Unternehmen in Prozentpunkten,Difference in percentage points between positive and negative assessments by responding companies,WIFO-Konjunkturtest,Österreich,Austria
AT,BPEW1,2022,3,7,66.9653,Bau – Geschäftslageerwartungen in den n. 6 Monaten,Construction – business situation expectations in the next 6 months,Differenz der Anteile von positiven und negativen Einschätzungen der antwortenden Unternehmen in Prozentpunkten,Difference in percentage points between positive and negative assessments by responding companies,WIFO-Konjunkturtest,Österreich,Austria
AT,BPEW1,2022,4,10,69.3743,Bau – Geschäftslageerwartungen in den n. 6 Monaten,Construction – business situation expectations in the next 6 months,Differenz der Anteile von positiven und negativen Einschätzungen der antwortenden Unternehmen in Prozentpunkten,Difference in percentage points between positive and negative assessments by responding companies,WIFO-Konjunkturtest,Österreich,Austria
AT,BPEW1,2023,1,1,59.4333,Bau – Geschäftslageerwartungen in den n. 6 Monaten,Construction – business situation expectations in the next 6 months,Differenz der Anteile von positiven und negativen Einschätzungen der antwortenden Unternehmen in Prozentpunkten,Difference in percentage points between positive and negative assessments by responding companies,WIFO-Konjunkturtest,Österreich,Austria
AT,BPEW1,2023,2,4,34.6977,Bau – Geschäftslageerwartungen in den n. 6 Monaten,Construction – business situation expectations in the next 6 months,Differenz der Anteile von positiven und negativen Einschätzungen der antwortenden Unternehmen in Prozentpunkten,Difference in percentage points between positive and negative assessments by responding companies,WIFO-Konjunkturtest,Österreich,Austria
AT,GLPEW1,2019,1,1,17.755,Bau – Geschäftslage zur Zeit,Construction – current business situation,Differenz der Anteile von positiven und negativen Einschätzungen der antwortenden Unternehmen in Prozentpunkten,Difference in percentage points between positive and negative assessments by responding companies,WIFO-Konjunkturtest,Österreich,Austria
AT,GLPEW1,2019,2,4,10.5446,Bau – Geschäftslage zur Zeit,Construction – current business situation,Differenz der Anteile von positiven und negativen Einschätzungen der antwortenden Unternehmen in Prozentpunkten,Difference in percentage points between positive and negative assessments by responding companies,WIFO-Konjunkturtest,Österreich,Austria
AT,GLPEW1,2019,3,7,17.0211,Bau – Geschäftslage zur Zeit,Construction – current business situation,Differenz der Anteile von positiven und negativen Einschätzungen der antwortenden Unternehmen in Prozentpunkten,Difference in percentage points between positive and negative assessments by responding companies,WIFO-Konjunkturtest,Österreich,Austria
AT,GLPEW1,2019,4,10,13.9456,Bau – Geschäftslage zur Zeit,Construction – current business situation,Differenz der Anteile von positiven und negativen Einschätzungen der antwortenden Unternehmen in Prozentpunkten,Difference in percentage points between positive and negative assessments by responding companies,WIFO-Konjunkturtest,Österreich,Austria
AT,GLPEW1,2020,1,1,10.8674,Bau – Geschäftslage zur Zeit,Construction – current business situation,Differenz der Anteile von positiven und negativen Einschätzungen der antwortenden Unternehmen in Prozentpunkten,Difference in percentage points between positive and negative assessments by responding companies,WIFO-Konjunkturtest,Österreich,Austria
AT,GLPEW1,2020,2,4,10.0555,Bau – Geschäftslage zur Zeit,Construction – current business situation,Differenz der Anteile von positiven und negativen Einschätzungen der antwortenden Unternehmen in Prozentpunkten,Difference in percentage points between positive and negative assessments by responding companies,WIFO-Konjunkturtest,Österreich,Austria
